"","date","Dog_name","Weight","std"
"483",2020-07-15,"raisin",18.5,NA
"484",2020-07-15,"simone",10.375,NA
"485",2020-07-17,"raisin",18.3125,NA
"486",2020-07-17,"simone",10.75,NA
"487",2020-07-18,"raisin",18.5625,NA
"488",2020-07-20,"raisin",18.625,NA
"489",2020-07-20,"simone",10.4375,NA
"490",2020-07-23,"raisin",18.625,NA
"491",2020-07-24,"raisin",18.5,NA
"492",2020-07-24,"simone",10.5625,NA
"493",2020-07-27,"raisin",18.5625,NA
"494",2020-07-27,"simone",10.5,NA
"495",2020-07-29,"raisin",18.375,NA
"496",2020-07-29,"simone",10.5,NA
"497",2020-07-31,"raisin",18.4375,NA
"498",2020-07-31,"simone",10.4375,NA
"499",2020-08-02,"raisin",18.5625,20.975
"500",2020-08-02,"simone",10.625,20.975
"501",2020-08-03,"raisin",18.4375,NA
"502",2020-08-03,"simone",10.5,NA
"503",2020-08-04,"raisin",18.5625,NA
"504",2020-08-04,"simone",10.4375,NA
"505",2020-08-06,"raisin",18.5,NA
"506",2020-08-06,"simone",10.5625,NA
"507",2020-08-07,"raisin",18.3125,NA
"508",2020-08-07,"simone",10.375,NA
"509",2020-09-01,"raisin",18.5625,NA
"510",2020-09-01,"simone",9.375,NA
"511",2020-09-07,"raisin",18.1875,NA
"512",2020-09-07,"simone",9.9375,NA
"513",2020-09-09,"raisin",18,NA
"514",2020-09-09,"simone",10.125,NA
"515",2020-09-14,"raisin",18.0625,NA
"516",2020-09-14,"simone",9.5,NA
"517",2020-09-15,"raisin",17.875,NA
"518",2020-09-15,"simone",10.1875,NA
"519",2020-09-16,"raisin",17.9375,NA
"520",2020-09-16,"simone",10.125,NA
"521",2020-09-18,"raisin",17.9375,NA
"522",2020-09-18,"simone",10.125,NA
"523",2020-09-19,"raisin",18,NA
"524",2020-09-19,"simone",10.1875,NA
"525",2020-09-21,"raisin",18.25,NA
"526",2020-09-21,"simone",10,NA
"527",2020-09-24,"raisin",17.8125,NA
"528",2020-09-24,"simone",10.25,NA
"529",2020-09-29,"raisin",17.9375,NA
"530",2020-09-29,"simone",10.25,NA
"531",2020-10-01,"raisin",17.75,NA
"532",2020-10-03,"raisin",17.875,NA
"533",2020-10-06,"raisin",17.75,NA
"534",2020-10-09,"raisin",17.75,NA
"535",2020-10-13,"raisin",18,NA
"536",2020-10-16,"raisin",17.625,NA
"537",2020-10-20,"raisin",17.625,NA
"538",2020-10-24,"raisin",17.6875,20.975
"539",2020-10-26,"raisin",17.5625,NA
"540",2020-10-29,"raisin",17.5,NA
"541",2020-11-02,"raisin",17.5,NA
"542",2020-11-03,"raisin",17.375,NA
"543",2020-11-06,"raisin",17,NA
"544",2020-11-10,"raisin",16.875,20.975
"545",2020-11-16,"raisin",16.875,NA
"546",2020-11-16,"simone",10.25,NA
"547",2020-11-18,"raisin",16.9375,NA
"548",2020-11-18,"simone",9.9375,NA
"549",2020-11-20,"raisin",16.875,NA
"550",2020-11-20,"simone",10,NA
"551",2020-11-24,"raisin",16.6875,NA
"552",2020-11-24,"simone",10.1875,NA
"553",2020-11-29,"raisin",16.625,NA
"554",2020-11-29,"simone",9.875,NA
"555",2020-12-01,"raisin",16.6875,NA
"556",2020-12-01,"simone",10,NA
"557",2020-12-03,"raisin",16.75,NA
"558",2020-12-03,"simone",9.8125,NA
"559",2020-12-05,"raisin",16.4375,20.975
"560",2020-12-05,"simone",9.9375,20.975
"561",2020-12-08,"raisin",16.5625,NA
"562",2020-12-08,"simone",10,NA
"563",2020-12-11,"simone",10.0625,NA
"564",2020-12-12,"raisin",16.5625,NA
"565",2020-12-12,"simone",9.8125,NA
"566",2020-12-16,"raisin",16.5,NA
"567",2020-12-16,"simone",10.125,NA
"568",2020-12-19,"raisin",16.5,NA
"569",2020-12-19,"simone",10,NA
"570",2021-01-20,"raisin",17.375,NA
"571",2021-01-20,"simone",9.6875,NA
"572",2021-01-22,"raisin",17.4375,NA
"573",2021-01-22,"simone",9.8125,NA
"574",2021-01-23,"raisin",17.3125,NA
"575",2021-01-23,"simone",10.0625,NA
"576",2021-01-26,"raisin",17.0625,NA
"577",2021-01-26,"simone",9.25,NA
"578",2021-01-28,"raisin",17.25,NA
"579",2021-01-28,"simone",9.1875,NA
"580",2021-01-31,"raisin",17.25,NA
"581",2021-01-31,"simone",9.1875,NA
"582",2021-02-02,"raisin",16.75,20.9625
"583",2021-02-02,"simone",8.6875,20.9625
"584",2021-02-04,"raisin",16.6875,NA
"585",2021-02-04,"simone",8.8125,NA
"586",2021-02-07,"raisin",16.9375,NA
"587",2021-02-07,"simone",9.375,NA
"588",2021-02-09,"raisin",16.75,NA
"589",2021-02-09,"simone",9.375,NA
"590",2021-02-11,"raisin",16.6875,NA
"591",2021-02-11,"simone",9.375,NA
"592",2021-02-13,"raisin",16.75,NA
"593",2021-02-13,"simone",9.5,NA
"594",2021-02-14,"raisin",16.8125,NA
"595",2021-02-14,"simone",9.5625,NA
"596",2021-02-18,"raisin",16.5625,NA
"597",2021-02-18,"simone",9.5,NA
"598",2021-02-20,"raisin",16.875,NA
"599",2021-02-20,"simone",9.375,NA
"600",2021-02-25,"raisin",16.875,NA
"601",2021-02-25,"simone",9.4375,NA
"602",2021-03-18,"raisin",17.375,NA
"603",2021-03-18,"simone",9.5,NA
"604",2021-03-20,"raisin",17.4375,NA
"605",2021-03-20,"simone",9.25,NA
"606",2021-03-22,"raisin",17.375,NA
"607",2021-03-22,"simone",9.5,NA
"608",2021-03-26,"raisin",17.0625,NA
"609",2021-03-26,"simone",9.4375,NA
"610",2021-03-27,"raisin",16.875,NA
"611",2021-03-27,"simone",9.4375,NA
"612",2021-03-30,"raisin",16.9375,NA
"613",2021-03-30,"simone",9.3125,NA
"614",2021-04-05,"raisin",16.875,NA
"615",2021-04-05,"simone",9.5625,NA
"616",2021-04-07,"raisin",16.75,NA
"617",2021-04-07,"simone",9.4375,NA
"618",2021-04-09,"raisin",16.9375,NA
"619",2021-04-09,"simone",9.625,NA
"620",2021-04-12,"raisin",17.3125,NA
"621",2021-04-12,"simone",9.5625,NA
"622",2021-04-14,"raisin",16.9375,NA
"623",2021-04-14,"simone",9.4375,NA
"624",2021-04-16,"raisin",16.9375,NA
"625",2021-04-16,"simone",9.375,NA
"626",2021-04-17,"raisin",16.75,NA
"627",2021-04-17,"simone",9,NA
"628",2021-04-21,"raisin",16.6875,NA
